"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь - март 2017 г.)"
"Рязанская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",305
"Рязанская область","3_11","Установлено лиц из числа находившихся в розыске",81
"Рязанская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",58
"Рязанская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",19
"Рязанская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",118
"Рязанская область","3_11","Всего прекращено дел в связи с установлением личности",7
"Рязанская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-44.44444444
"Рязанская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-21.24645892
"Смоленская область","3_11","Всего разыскивалось лиц",837
"Смоленская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",397
"Смоленская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",439
"Смоленская область","3_11","Установлено лиц из числа находившихся в розыске",148
"Смоленская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",119
"Смоленская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",28
"Смоленская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",104
"Смоленская область","3_11","Всего прекращено дел в связи с установлением личности",7
"Смоленская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-44.01622718
"Смоленская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-27.09090909
"Тамбовская область","3_11","Всего разыскивалось лиц",760
"Тамбовская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",198
"Тамбовская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",561
"Тамбовская область","3_11","Установлено лиц из числа находившихся в розыске",473
"Тамбовская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",87
"Тамбовская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",385
"Тамбовская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",12
"Тамбовская область","3_11","Всего прекращено дел в связи с установлением личности",0
"Тамбовская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-37.20930233
"Тамбовская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-5
"Тверская область","3_11","Всего разыскивалось лиц",914
"Тверская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",240
"Тверская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",671
"Тверская область","3_11","Установлено лиц из числа находившихся в розыске",95
"Тверская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",29
"Тверская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",64
"Тверская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",192
"Тверская область","3_11","Всего прекращено дел в связи с установлением личности",3
"Тверская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-69.32330827
"Тверская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-33.96226415
"Тульская область","3_11","Всего разыскивалось лиц",950
"Тульская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",223
"Тульская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",704
"Тульская область","3_11","Установлено лиц из числа находившихся в розыске",282
"Тульская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",44
"Тульская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",220
"Тульская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",198
"Тульская область","3_11","Всего прекращено дел в связи с установлением личности",4
"Тульская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-47.66081871
"Тульская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-20.59336824
"Ярославская область","3_11","Всего разыскивалось лиц",1016
"Ярославская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",347
"Ярославская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",653
"Ярославская область","3_11","Установлено лиц из числа находившихся в розыске",341
"Ярославская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",151
"Ярославская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",174
"Ярославская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",105
"Ярославская область","3_11","Всего прекращено дел в связи с установлением личности",5
"Ярославская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-59.44798301
"Ярославская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-34.03656821
"Северо-Западный фед.округ","3_11","Всего разыскивалось лиц",11789
"Северо-Западный фед.округ","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",4845
"Северо-Западный фед.округ","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",6460
"Северо-Западный фед.округ","3_11","Установлено лиц из числа находившихся в розыске",2673
"Северо-Западный фед.округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",1211
"Северо-Западный фед.округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",1001
"Северо-Западный фед.округ","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",2606
"Северо-Западный фед.округ","3_11","Всего прекращено дел в связи с установлением личности",234
"Северо-Западный фед.округ","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-29.22193625
"Северо-Западный фед.округ","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-17.36526946
"Республика Карелия","3_11","Всего разыскивалось лиц",1303
"Республика Карелия","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",306
"Республика Карелия","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",799
"Республика Карелия","3_11","Установлено лиц из числа находившихся в розыске",566
"Республика Карелия","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",147
"Республика Карелия","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",223
"Республика Карелия","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",33
"Республика Карелия","3_11","Всего прекращено дел в связи с установлением личности",1
"Республика Карелия","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-30.63063063
"Республика Карелия","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-24.06914894
"Республика Коми","3_11","Всего разыскивалось лиц",1032
"Республика Коми","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",420
"Республика Коми","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",593
"Республика Коми","3_11","Установлено лиц из числа находившихся в розыске",133
"Республика Коми","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",107
"Республика Коми","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",10
"Республика Коми","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",65
"Республика Коми","3_11","Всего прекращено дел в связи с установлением личности",1
"Республика Коми","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-29.62962963
"Республика Коми","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-11.48867314
"Архангельская обл. (с АО )","3_11","Всего разыскивалось лиц",1219
"Архангельская обл. (с АО )","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",320
"Архангельская обл. (с АО )","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",896
"Архангельская обл. (с АО )","3_11","Установлено лиц из числа находившихся в розыске",313
"Архангельская обл. (с АО )","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",118
"Архангельская обл. (с АО )","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",194
"Архангельская обл. (с АО )","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",58
"Архангельская обл. (с АО )","3_11","Всего прекращено дел в связи с установлением личности",4
"Архангельская обл. (с АО )","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-36.65594855
"Архангельская обл. (с АО )","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-4.38957476
"  Архангельская обл. (без а/о)","3_11","Всего разыскивалось лиц",1137
"  Архангельская обл. (без а/о)","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",304
"  Архангельская обл. (без а/о)","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",830
"  Архангельская обл. (без а/о)","3_11","Установлено лиц из числа находившихся в розыске",306
"  Архангельская обл. (без а/о)","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",113
"  Архангельская обл. (без а/о)","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",192
"  Архангельская обл. (без а/о)","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",56
"  Архангельская обл. (без а/о)","3_11","Всего прекращено дел в связи с установлением личности",3
"  Архангельская обл. (без а/о)","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-36.82432432
"  Архангельская обл. (без а/о)","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-2.764976959
"  Ненецкий АО","3_11","Всего разыскивалось лиц",82
"  Ненецкий АО","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",16
"  Ненецкий АО","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",66
"  Ненецкий АО","3_11","Установлено лиц из числа находившихся в розыске",7
