"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь - март 2018 г.)"
"г. Москва","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",238
"г. Москва","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",1695
"г. Москва","3_11","Всего прекращено дел в связи с установлением личности",158
"г. Москва","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)","37,28294178"
"г. Москва","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)","2,201761409"
"Московская область","3_11","Всего разыскивалось лиц",5410
"Московская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",2732
"Московская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",2674
"Московская область","3_11","Установлено лиц из числа находившихся в розыске",308
"Московская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",255
"Московская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",52
"Московская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",2109
"Московская область","3_11","Всего прекращено дел в связи с установлением личности",60
"Московская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)","-38,98354028"
"Московская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)","-32,36143945"
"Орловская область","3_11","Всего разыскивалось лиц",429
"Орловская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",242
"Орловская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",185
"Орловская область","3_11","Установлено лиц из числа находившихся в розыске",75
"Орловская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",58
"Орловская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",15
"Орловская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",52
"Орловская область","3_11","Всего прекращено дел в связи с установлением личности",0
"Орловская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)","-36,55172414"
"Орловская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)","-19,5"
"Рязанская область","3_11","Всего разыскивалось лиц",530
"Рязанская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",247
"Рязанская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",282
"Рязанская область","3_11","Установлено лиц из числа находившихся в розыске",107
"Рязанская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",96
"Рязанская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",11
"Рязанская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",100
"Рязанская область","3_11","Всего прекращено дел в связи с установлением личности",4
"Рязанская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)","-44,44444444"
"Рязанская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)","-24,64589235"
"Смоленская область","3_11","Всего разыскивалось лиц",701
"Смоленская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",339
"Смоленская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",362
"Смоленская область","3_11","Установлено лиц из числа находившихся в розыске",97
"Смоленская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",89
"Смоленская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",8
"Смоленская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",84
"Смоленская область","3_11","Всего прекращено дел в связи с установлением личности",4
"Смоленская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)","-50,50709939"
"Смоленская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)","-37,09090909"
"Тамбовская область","3_11","Всего разыскивалось лиц",749
"Тамбовская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",208
"Тамбовская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",540
"Тамбовская область","3_11","Установлено лиц из числа находившихся в розыске",484
"Тамбовская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",111
"Тамбовская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",373
"Тамбовская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",17
"Тамбовская область","3_11","Всего прекращено дел в связи с установлением личности",0
"Тамбовская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)","-44,18604651"
"Тамбовская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)","-9,444444444"
"Тверская область","3_11","Всего разыскивалось лиц",827
"Тверская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",221
"Тверская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",599
"Тверская область","3_11","Установлено лиц из числа находившихся в розыске",68
"Тверская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",27
"Тверская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",35
"Тверская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",162
"Тверская область","3_11","Всего прекращено дел в связи с установлением личности",4
"Тверская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)","-71,42857143"
"Тверская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)","-38,5127636"
"Тульская область","3_11","Всего разыскивалось лиц",850
"Тульская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",221
"Тульская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",619
"Тульская область","3_11","Установлено лиц из числа находившихся в розыске",212
"Тульская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",45
"Тульская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",159
"Тульская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",200
"Тульская область","3_11","Всего прекращено дел в связи с установлением личности",9
"Тульская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)","-48,83040936"
"Тульская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)","-23,38568935"
"Ярославская область","3_11","Всего разыскивалось лиц",1076
"Ярославская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",355
"Ярославская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",707
"Ярославская область","3_11","Установлено лиц из числа находившихся в розыске",432
"Ярославская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",163
"Ярославская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",255
"Ярославская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",96
"Ярославская область","3_11","Всего прекращено дел в связи с установлением личности",4
"Ярославская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)","-59,44798301"
"Ярославская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)","-36,99015471"
"Северо-Западный фед.округ","3_11","Всего разыскивалось лиц",10717
"Северо-Западный фед.округ","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",4651
"Северо-Западный фед.округ","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",5646
"Северо-Западный фед.округ","3_11","Установлено лиц из числа находившихся в розыске",2469
"Северо-Западный фед.округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",1258
"Северо-Западный фед.округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",809
"Северо-Западный фед.округ","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",1964
"Северо-Западный фед.округ","3_11","Всего прекращено дел в связи с установлением личности",204
"Северо-Западный фед.округ","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)","-33,5775094"
"Северо-Западный фед.округ","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)","-24,83454144"
"Республика Карелия","3_11","Всего разыскивалось лиц",1012
"Республика Карелия","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",269
"Республика Карелия","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",625
"Республика Карелия","3_11","Установлено лиц из числа находившихся в розыске",399
"Республика Карелия","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",137
"Республика Карелия","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",146
"Республика Карелия","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",25
"Республика Карелия","3_11","Всего прекращено дел в связи с установлением личности",2
"Республика Карелия","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)","-41,44144144"
"Республика Карелия","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)","-36,56914894"
"Республика Коми","3_11","Всего разыскивалось лиц",778
"Республика Коми","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",353
"Республика Коми","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",422
"Республика Коми","3_11","Установлено лиц из числа находившихся в розыске",120
"Республика Коми","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",105
"Республика Коми","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",14
"Республика Коми","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",50
"Республика Коми","3_11","Всего прекращено дел в связи с установлением личности",4
"Республика Коми","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)","-43,75"
"Республика Коми","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)","-36,08414239"
"Архангельская обл. (с АО )","3_11","Всего разыскивалось лиц",1192
"Архангельская обл. (с АО )","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",336
"Архангельская обл. (с АО )","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",853
"Архангельская обл. (с АО )","3_11","Установлено лиц из числа находившихся в розыске",337
"Архангельская обл. (с АО )","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",152
"Архангельская обл. (с АО )","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",183
"Архангельская обл. (с АО )","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",50
"Архангельская обл. (с АО )","3_11","Всего прекращено дел в связи с установлением личности",4
"Архангельская обл. (с АО )","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)","-42,4437299"
"Архангельская обл. (с АО )","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)","-9,739368999"
"  Архангельская обл. (без а/о)","3_11","Всего разыскивалось лиц",1111
"  Архангельская обл. (без а/о)","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",317
"  Архангельская обл. (без а/о)","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",791
"  Архангельская обл. (без а/о)","3_11","Установлено лиц из числа находившихся в розыске",325
"  Архангельская обл. (без а/о)","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",142
"  Архангельская обл. (без а/о)","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",181
"  Архангельская обл. (без а/о)","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",48
"  Архангельская обл. (без а/о)","3_11","Всего прекращено дел в связи с установлением личности",3
"  Архангельская обл. (без а/о)","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)","-42,56756757"
"  Архангельская обл. (без а/о)","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)","-8,141321045"
"  Ненецкий АО","3_11","Всего разыскивалось лиц",81
"  Ненецкий АО","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",19
"  Ненецкий АО","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",62
