"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь - сентябрь 2016 г.)"
"Калужская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",790
"Калужская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",355
"Калужская область","3_11","Установлено лиц из числа находившихся в розыске",490
"Калужская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",433
"Калужская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",30
"Калужская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",173
"Калужская область","3_11","Всего прекращено дел в связи с установлением личности",17
"Калужская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-20.04662005
"Калужская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-20.47244094
"Костромская область","3_11","Всего разыскивалось лиц",521
"Костромская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",242
"Костромская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",278
"Костромская область","3_11","Установлено лиц из числа находившихся в розыске",159
"Костромская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",136
"Костромская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",22
"Костромская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",36
"Костромская область","3_11","Всего прекращено дел в связи с установлением личности",1
"Костромская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-42.85714286
"Костромская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-4.961832061
"Курская область","3_11","Всего разыскивалось лиц",1492
"Курская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",528
"Курская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",926
"Курская область","3_11","Установлено лиц из числа находившихся в розыске",1118
"Курская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",345
"Курская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",736
"Курская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",40
"Курская область","3_11","Всего прекращено дел в связи с установлением личности",5
"Курская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-44.40993789
"Курская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-29.96254682
"Липецкая область","3_11","Всего разыскивалось лиц",633
"Липецкая область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",414
"Липецкая область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",219
"Липецкая область","3_11","Установлено лиц из числа находившихся в розыске",238
"Липецкая область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",220
"Липецкая область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",18
"Липецкая область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",68
"Липецкая область","3_11","Всего прекращено дел в связи с установлением личности",4
"Липецкая область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-23.48178138
"Липецкая область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-22.44897959
"г. Москва","3_11","Всего разыскивалось лиц",9743
"г. Москва","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",6129
"г. Москва","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",3315
"г. Москва","3_11","Установлено лиц из числа находившихся в розыске",2262
"г. Москва","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",1468
"г. Москва","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",577
"г. Москва","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",2829
"г. Москва","3_11","Всего прекращено дел в связи с установлением личности",523
"г. Москва","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",13.98870637
"г. Москва","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",5.707491082
"Московская область","3_11","Всего разыскивалось лиц",7318
"Московская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",3918
"Московская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",3389
"Московская область","3_11","Установлено лиц из числа находившихся в розыске",1446
"Московская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",1177
"Московская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",260
"Московская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",2867
"Московская область","3_11","Всего прекращено дел в связи с установлением личности",232
"Московская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-27.59897465
"Московская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-21.19009155
"Орловская область","3_11","Всего разыскивалось лиц",733
"Орловская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",499
"Орловская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",233
"Орловская область","3_11","Установлено лиц из числа находившихся в розыске",308
"Орловская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",248
"Орловская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",59
"Орловская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",74
"Орловская область","3_11","Всего прекращено дел в связи с установлением личности",11
"Орловская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-17.40614334
"Орловская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-13.70558376
"Рязанская область","3_11","Всего разыскивалось лиц",741
"Рязанская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",372
"Рязанская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",363
"Рязанская область","3_11","Установлено лиц из числа находившихся в розыске",246
"Рязанская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",191
"Рязанская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",53
"Рязанская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",168
"Рязанская область","3_11","Всего прекращено дел в связи с установлением личности",30
"Рязанская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-40.55944056
"Рязанская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-17.34104046
"Смоленская область","3_11","Всего разыскивалось лиц",1183
"Смоленская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",701
"Смоленская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",477
"Смоленская область","3_11","Установлено лиц из числа находившихся в розыске",415
"Смоленская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",392
"Смоленская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",19
"Смоленская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",118
"Смоленская область","3_11","Всего прекращено дел в связи с установлением личности",9
"Смоленская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-38.97959184
"Смоленская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-21.09090909
"Тамбовская область","3_11","Всего разыскивалось лиц",1818
"Тамбовская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",572
"Тамбовская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1242
"Тамбовская область","3_11","Установлено лиц из числа находившихся в розыске",1501
"Тамбовская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",434
"Тамбовская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",1063
"Тамбовская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",23
"Тамбовская область","3_11","Всего прекращено дел в связи с установлением личности",8
"Тамбовская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-25.56818182
"Тамбовская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-4.324324324
"Тверская область","3_11","Всего разыскивалось лиц",1498
"Тверская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",483
"Тверская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1008
"Тверская область","3_11","Установлено лиц из числа находившихся в розыске",483
"Тверская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",180
"Тверская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",296
"Тверская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",228
"Тверская область","3_11","Всего прекращено дел в связи с установлением личности",15
"Тверская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-58.95522388
"Тверская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-30.54626533
"Тульская область","3_11","Всего разыскивалось лиц",1907
"Тульская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",353
"Тульская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1407
"Тульская область","3_11","Установлено лиц из числа находившихся в розыске",1187
"Тульская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",152
"Тульская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",896
"Тульская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",253
"Тульская область","3_11","Всего прекращено дел в связи с установлением личности",37
"Тульская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-39.6969697
"Тульская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-16.90391459
"Ярославская область","3_11","Всего разыскивалось лиц",1905
"Ярославская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",671
"Ярославская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1188
"Ярославская область","3_11","Установлено лиц из числа находившихся в розыске",1165
"Ярославская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",445
"Ярославская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",674
"Ярославская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",133
"Ярославская область","3_11","Всего прекращено дел в связи с установлением личности",15
"Ярославская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-59.44333996
"Ярославская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-32.63598326
"Северо-Западный фед.округ","3_11","Всего разыскивалось лиц",19935
"Северо-Западный фед.округ","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",9058
"Северо-Западный фед.округ","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",9807
"Северо-Западный фед.округ","3_11","Установлено лиц из числа находившихся в розыске",9434
"Северо-Западный фед.округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",4638
"Северо-Западный фед.округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",3753
"Северо-Западный фед.округ","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",4074
"Северо-Западный фед.округ","3_11","Всего прекращено дел в связи с установлением личности",882
"Северо-Западный фед.округ","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-17.95328583
"Северо-Западный фед.округ","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-9.957054239
"Республика Карелия","3_11","Всего разыскивалось лиц",2399
"Республика Карелия","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",677
"Республика Карелия","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1478
"Республика Карелия","3_11","Установлено лиц из числа находившихся в розыске",1571
"Республика Карелия","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",496
"Республика Карелия","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",832
"Республика Карелия","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",40
"Республика Карелия","3_11","Всего прекращено дел в связи с установлением личности",4
"Республика Карелия","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-14.5631068
"Республика Карелия","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-18.24324324
"Республика Коми","3_11","Всего разыскивалось лиц",2023
"Республика Коми","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",1141
"Республика Коми","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",844
"Республика Коми","3_11","Установлено лиц из числа находившихся в розыске",856
"Республика Коми","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",660
"Республика Коми","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",158
"Республика Коми","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",76
"Республика Коми","3_11","Всего прекращено дел в связи с установлением личности",6
"Республика Коми","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",0.705882353
"Республика Коми","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",5.371248025
"Архангельская обл. (с АО )","3_11","Всего разыскивалось лиц",2206
"Архангельская обл. (с АО )","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",748
"Архангельская обл. (с АО )","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1451
"Архангельская обл. (с АО )","3_11","Установлено лиц из числа находившихся в розыске",1239
"Архангельская обл. (с АО )","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",501
"Архангельская обл. (с АО )","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",732
"Архангельская обл. (с АО )","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",123
"Архангельская обл. (с АО )","3_11","Всего прекращено дел в связи с установлением личности",51
"Архангельская обл. (с АО )","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-26.04501608
"Архангельская обл. (с АО )","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-3.802816901
"  Архангельская обл. (без а/о)","3_11","Всего разыскивалось лиц",2074
"  Архангельская обл. (без а/о)","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",709
"  Архангельская обл. (без а/о)","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1358
"  Архангельская обл. (без а/о)","3_11","Установлено лиц из числа находившихся в розыске",1196
"  Архангельская обл. (без а/о)","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",475
"  Архангельская обл. (без а/о)","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",715
"  Архангельская обл. (без а/о)","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",120
"  Архангельская обл. (без а/о)","3_11","Всего прекращено дел в связи с установлением личности",51
"  Архангельская обл. (без а/о)","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-27.42474916
"  Архангельская обл. (без а/о)","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-2.215189873
"  Ненецкий АО","3_11","Всего разыскивалось лиц",132
"  Ненецкий АО","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",39
"  Ненецкий АО","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",93
