"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь - декабрь 2014 г.)"
"Костромская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",250
"Костромская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",68
"Костромская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",146
"Костромская область","3_11","Всего прекращено дел в связи с установлением личности",21
"Костромская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-32.55813953
"Костромская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-4.942965779
"Курская область","3_11","Всего разыскивалось лиц",1843
"Курская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",649
"Курская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1121
"Курская область","3_11","Установлено лиц из числа находившихся в розыске",1420
"Курская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",448
"Курская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",899
"Курская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",150
"Курская область","3_11","Всего прекращено дел в связи с установлением личности",28
"Курская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-39.57055215
"Курская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-21.34831461
"Липецкая область","3_11","Всего разыскивалось лиц",873
"Липецкая область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",587
"Липецкая область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",285
"Липецкая область","3_11","Установлено лиц из числа находившихся в розыске",453
"Липецкая область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",392
"Липецкая область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",60
"Липецкая область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",193
"Липецкая область","3_11","Всего прекращено дел в связи с установлением личности",12
"Липецкая область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-20
"Липецкая область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-13.58024691
"г. Москва","3_11","Всего разыскивалось лиц",10499
"г. Москва","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",6561
"г. Москва","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",3601
"г. Москва","3_11","Установлено лиц из числа находившихся в розыске",2984
"г. Москва","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",1976
"г. Москва","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",759
"г. Москва","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",12790
"г. Москва","3_11","Всего прекращено дел в связи с установлением личности",738
"г. Москва","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",0.38348748
"г. Москва","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",7.583497053
"Московская область","3_11","Всего разыскивалось лиц",9019
"Московская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",5064
"Московская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",3950
"Московская область","3_11","Установлено лиц из числа находившихся в розыске",2344
"Московская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",1895
"Московская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",447
"Московская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",9609
"Московская область","3_11","Всего прекращено дел в связи с установлением личности",544
"Московская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-14.82739106
"Московская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-9.175061258
"Орловская область","3_11","Всего разыскивалось лиц",876
"Орловская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",582
"Орловская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",290
"Орловская область","3_11","Установлено лиц из числа находившихся в розыске",448
"Орловская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",346
"Орловская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",99
"Орловская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",169
"Орловская область","3_11","Всего прекращено дел в связи с установлением личности",22
"Орловская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-18.66197183
"Орловская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-6.735751295
"Рязанская область","3_11","Всего разыскивалось лиц",988
"Рязанская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",515
"Рязанская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",466
"Рязанская область","3_11","Установлено лиц из числа находившихся в розыске",410
"Рязанская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",282
"Рязанская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",122
"Рязанская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",694
"Рязанская область","3_11","Всего прекращено дел в связи с установлением личности",66
"Рязанская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-23.15436242
"Рязанская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-6.552706553
"Смоленская область","3_11","Всего разыскивалось лиц",1706
"Смоленская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",1084
"Смоленская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",615
"Смоленская область","3_11","Установлено лиц из числа находившихся в розыске",819
"Смоленская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",717
"Смоленская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",96
"Смоленская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",651
"Смоленская область","3_11","Всего прекращено дел в связи с установлением личности",44
"Смоленская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-31.94444444
"Смоленская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-10.90573013
"Тамбовская область","3_11","Всего разыскивалось лиц",1849
"Тамбовская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",666
"Тамбовская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1174
"Тамбовская область","3_11","Установлено лиц из числа находившихся в розыске",1516
"Тамбовская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",521
"Тамбовская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",986
"Тамбовская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",30
"Тамбовская область","3_11","Всего прекращено дел в связи с установлением личности",11
"Тамбовская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-18.85714286
"Тамбовская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-1.612903226
"Тверская область","3_11","Всего разыскивалось лиц",2481
"Тверская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",1040
"Тверская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1425
"Тверская область","3_11","Установлено лиц из числа находившихся в розыске",1087
"Тверская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",525
"Тверская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",546
"Тверская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",1142
"Тверская область","3_11","Всего прекращено дел в связи с установлением личности",28
"Тверская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-25
"Тверская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-7.97752809
"Тульская область","3_11","Всего разыскивалось лиц",2138
"Тульская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",334
"Тульская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1646
"Тульская область","3_11","Установлено лиц из числа находившихся в розыске",1408
"Тульская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",151
"Тульская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",1101
"Тульская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",1014
"Тульская область","3_11","Всего прекращено дел в связи с установлением личности",103
"Тульская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-44.92307692
"Тульская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-7.142857143
"Ярославская область","3_11","Всего разыскивалось лиц",3708
"Ярославская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",1062
"Ярославская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",2288
"Ярославская область","3_11","Установлено лиц из числа находившихся в розыске",2760
"Ярославская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",797
"Ярославская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",1610
"Ярославская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",592
"Ярославская область","3_11","Всего прекращено дел в связи с установлением личности",25
"Ярославская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-53.7109375
"Ярославская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-19.94459834
"Северо-Западный фед.округ","3_11","Всего разыскивалось лиц",24718
"Северо-Западный фед.округ","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",11454
"Северо-Западный фед.округ","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",12195
"Северо-Западный фед.округ","3_11","Установлено лиц из числа находившихся в розыске",13802
"Северо-Западный фед.округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",7063
"Северо-Западный фед.округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",5693
"Северо-Западный фед.округ","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",13535
"Северо-Западный фед.округ","3_11","Всего прекращено дел в связи с установлением личности",1499
"Северо-Западный фед.округ","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-17.25490196
"Северо-Западный фед.округ","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-3.12103929
"Республика Карелия","3_11","Всего разыскивалось лиц",2131
"Республика Карелия","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",701
"Республика Карелия","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1414
"Республика Карелия","3_11","Установлено лиц из числа находившихся в розыске",1237
"Республика Карелия","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",511
"Республика Карелия","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",710
"Республика Карелия","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",296
"Республика Карелия","3_11","Всего прекращено дел в связи с установлением личности",17
"Республика Карелия","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-15.74074074
"Республика Карелия","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-10.25991792
"Республика Коми","3_11","Всего разыскивалось лиц",2632
"Республика Коми","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",1593
"Республика Коми","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1009
"Республика Коми","3_11","Установлено лиц из числа находившихся в розыске",1499
"Республика Коми","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",1138
"Республика Коми","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",335
"Республика Коми","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",287
"Республика Коми","3_11","Всего прекращено дел в связи с установлением личности",29
"Республика Коми","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",0.928074246
"Республика Коми","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",3.8647343
"Архангельская обл. (с АО )","3_11","Всего разыскивалось лиц",3096
"Архангельская обл. (с АО )","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",1032
"Архангельская обл. (с АО )","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",2038
"Архангельская обл. (с АО )","3_11","Установлено лиц из числа находившихся в розыске",2077
"Архангельская обл. (с АО )","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",778
"Архангельская обл. (с АО )","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",1274
"Архангельская обл. (с АО )","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",303
"Архангельская обл. (с АО )","3_11","Всего прекращено дел в связи с установлением личности",134
"Архангельская обл. (с АО )","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-24.34210526
"Архангельская обл. (с АО )","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",0.279329609
"  Архангельская обл. (без а/о)","3_11","Всего разыскивалось лиц",2957
"  Архангельская обл. (без а/о)","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",985
"  Архангельская обл. (без а/о)","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1946
"  Архангельская обл. (без а/о)","3_11","Установлено лиц из числа находившихся в розыске",2018
"  Архангельская обл. (без а/о)","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",737
"  Архангельская обл. (без а/о)","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",1256
"  Архангельская обл. (без а/о)","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",298
"  Архангельская обл. (без а/о)","3_11","Всего прекращено дел в связи с установлением личности",132
"  Архангельская обл. (без а/о)","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-23.54948805
"  Архангельская обл. (без а/о)","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",1.567398119
"  Ненецкий АО","3_11","Всего разыскивалось лиц",139
"  Ненецкий АО","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",47
"  Ненецкий АО","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",92
