"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь - декабрь 2017 г.)"
"Воронежская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1841
"Воронежская область","3_11","Установлено лиц из числа находившихся в розыске",2179
"Воронежская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",402
"Воронежская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",1444
"Воронежская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",196
"Воронежская область","3_11","Всего прекращено дел в связи с установлением личности",27
"Воронежская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-19.39393939
"Воронежская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",5.763688761
"Ивановская область","3_11","Всего разыскивалось лиц",994
"Ивановская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",569
"Ивановская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",321
"Ивановская область","3_11","Установлено лиц из числа находившихся в розыске",491
"Ивановская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",371
"Ивановская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",34
"Ивановская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",89
"Ивановская область","3_11","Всего прекращено дел в связи с установлением личности",13
"Ивановская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-45.60906516
"Ивановская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-14.69648562
"Калужская область","3_11","Всего разыскивалось лиц",1338
"Калужская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",930
"Калужская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",359
"Калужская область","3_11","Установлено лиц из числа находившихся в розыске",673
"Калужская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",577
"Калужская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",54
"Калужская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",141
"Калужская область","3_11","Всего прекращено дел в связи с установлением личности",21
"Калужская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-19.81351981
"Калужская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-25.06596306
"Костромская область","3_11","Всего разыскивалось лиц",510
"Костромская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",238
"Костромская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",272
"Костромская область","3_11","Установлено лиц из числа находившихся в розыске",172
"Костромская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",146
"Костромская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",26
"Костромская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",30
"Костромская область","3_11","Всего прекращено дел в связи с установлением личности",2
"Костромская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-50.58139535
"Костромская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-8.745247148
"Курская область","3_11","Всего разыскивалось лиц",1646
"Курская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",599
"Курская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1035
"Курская область","3_11","Установлено лиц из числа находившихся в розыске",1267
"Курская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",412
"Курская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",843
"Курская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",42
"Курская область","3_11","Всего прекращено дел в связи с установлением личности",11
"Курская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-43.86503067
"Курская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-32.20973783
"Липецкая область","3_11","Всего разыскивалось лиц",653
"Липецкая область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",438
"Липецкая область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",214
"Липецкая область","3_11","Установлено лиц из числа находившихся в розыске",276
"Липецкая область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",249
"Липецкая область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",26
"Липецкая область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",64
"Липецкая область","3_11","Всего прекращено дел в связи с установлением личности",5
"Липецкая область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-24.16666667
"Липецкая область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-27.16049383
"г. Москва","3_11","Всего разыскивалось лиц",11835
"г. Москва","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",7925
"г. Москва","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",3514
"г. Москва","3_11","Установлено лиц из числа находившихся в розыске",3187
"г. Москва","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",2046
"г. Москва","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",811
"г. Москва","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",2584
"г. Москва","3_11","Всего прекращено дел в связи с установлением личности",664
"г. Москва","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",23.55064291
"г. Москва","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",1.611001965
"Московская область","3_11","Всего разыскивалось лиц",7502
"Московская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",4340
"Московская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",3150
"Московская область","3_11","Установлено лиц из числа находившихся в розыске",1652
"Московская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",1325
"Московская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",318
"Московская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",2676
"Московская область","3_11","Всего прекращено дел в связи с установлением личности",310
"Московская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-38.05885682
"Московская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-28.64143752
"Орловская область","3_11","Всего разыскивалось лиц",716
"Орловская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",468
"Орловская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",248
"Орловская область","3_11","Установлено лиц из числа находившихся в розыске",339
"Орловская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",264
"Орловская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",75
"Орловская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",62
"Орловская область","3_11","Всего прекращено дел в связи с установлением личности",4
"Орловская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-30.98591549
"Орловская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-11.91709845
"Рязанская область","3_11","Всего разыскивалось лиц",799
"Рязанская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",431
"Рязанская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",354
"Рязанская область","3_11","Установлено лиц из числа находившихся в розыске",331
"Рязанская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",251
"Рязанская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",67
"Рязанская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",131
"Рязанская область","3_11","Всего прекращено дел в связи с установлением личности",18
"Рязанская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-43.62416107
"Рязанская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-23.64672365
"Смоленская область","3_11","Всего разыскивалось лиц",1129
"Смоленская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",668
"Смоленская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",455
"Смоленская область","3_11","Установлено лиц из числа находившихся в розыске",447
"Смоленская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",386
"Смоленская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",55
"Смоленская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",110
"Смоленская область","3_11","Всего прекращено дел в связи с установлением личности",13
"Смоленская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-47.22222222
"Смоленская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-34.56561922
"Тамбовская область","3_11","Всего разыскивалось лиц",2333
"Тамбовская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",594
"Тамбовская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1729
"Тамбовская область","3_11","Установлено лиц из числа находившихся в розыске",2035
"Тамбовская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",474
"Тамбовская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",1552
"Тамбовская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",21
"Тамбовская область","3_11","Всего прекращено дел в связи с установлением личности",6
"Тамбовская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-35.42857143
"Тамбовская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-12.90322581
"Тверская область","3_11","Всего разыскивалось лиц",1225
"Тверская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",338
"Тверская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",878
"Тверская область","3_11","Установлено лиц из числа находившихся в розыске",386
"Тверская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",125
"Тверская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",253
"Тверская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",195
"Тверская область","3_11","Всего прекращено дел в связи с установлением личности",9
"Тверская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-70.83333333
"Тверская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-36.62921348
"Тульская область","3_11","Всего разыскивалось лиц",1956
"Тульская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",364
"Тульская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1516
"Тульская область","3_11","Установлено лиц из числа находившихся в розыске",1287
"Тульская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",179
"Тульская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",1036
"Тульская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",234
"Тульская область","3_11","Всего прекращено дел в связи с установлением личности",25
"Тульская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-43.38461538
"Тульская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-22.14285714
"Ярославская область","3_11","Всего разыскивалось лиц",2314
"Ярославская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",882
"Ярославская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1364
"Ярославская область","3_11","Установлено лиц из числа находившихся в розыске",1614
"Ярославская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",667
"Ярославская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",879
"Ярославская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",122
"Ярославская область","3_11","Всего прекращено дел в связи с установлением личности",20
"Ярославская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-61.328125
"Ярославская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-38.08864266
"Северо-Западный фед.округ","3_11","Всего разыскивалось лиц",20696
"Северо-Западный фед.округ","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",8727
"Северо-Западный фед.округ","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",10205
"Северо-Западный фед.округ","3_11","Установлено лиц из числа находившихся в розыске",11460
"Северо-Западный фед.округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",5073
"Северо-Западный фед.округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",4643
"Северо-Западный фед.округ","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",3326
"Северо-Западный фед.округ","3_11","Всего прекращено дел в связи с установлением личности",845
"Северо-Западный фед.округ","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-31.76470588
"Северо-Западный фед.округ","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-23.58998733
"Республика Карелия","3_11","Всего разыскивалось лиц",3239
"Республика Карелия","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",805
"Республика Карелия","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1618
"Республика Карелия","3_11","Установлено лиц из числа находившихся в розыске",2552
"Республика Карелия","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",651
"Республика Карелия","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",1087
"Республика Карелия","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",42
"Республика Карелия","3_11","Всего прекращено дел в связи с установлением личности",14
"Республика Карелия","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-33.7962963
"Республика Карелия","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-33.78932969
"Республика Коми","3_11","Всего разыскивалось лиц",1358
"Республика Коми","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",722
"Республика Коми","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",602
"Республика Коми","3_11","Установлено лиц из числа находившихся в розыске",540
"Республика Коми","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",445
"Республика Коми","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",62
"Республика Коми","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",74
"Республика Коми","3_11","Всего прекращено дел в связи с установлением личности",14
"Республика Коми","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-44.77958237
"Республика Коми","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-32.68921095
"Архангельская обл. (с АО )","3_11","Всего разыскивалось лиц",2511
"Архангельская обл. (с АО )","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",806
"Архангельская обл. (с АО )","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1694
"Архангельская обл. (с АО )","3_11","Установлено лиц из числа находившихся в розыске",1566
"Архангельская обл. (с АО )","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",613
"Архангельская обл. (с АО )","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",944
"Архангельская обл. (с АО )","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",75
"Архангельская обл. (с АО )","3_11","Всего прекращено дел в связи с установлением личности",17
"Архангельская обл. (с АО )","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-40.78947368
"Архангельская обл. (с АО )","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-7.960893855
"  Архангельская обл. (без а/о)","3_11","Всего разыскивалось лиц",2402
"  Архангельская обл. (без а/о)","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",769
"  Архангельская обл. (без а/о)","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1622
"  Архангельская обл. (без а/о)","3_11","Установлено лиц из числа находившихся в розыске",1531
"  Архангельская обл. (без а/о)","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",586
"  Архангельская обл. (без а/о)","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",936
"  Архангельская обл. (без а/о)","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",72
"  Архангельская обл. (без а/о)","3_11","Всего прекращено дел в связи с установлением личности",16
"  Архангельская обл. (без а/о)","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-41.63822526
"  Архангельская обл. (без а/о)","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-6.269592476
"  Ненецкий АО","3_11","Всего разыскивалось лиц",109
"  Ненецкий АО","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",37
"  Ненецкий АО","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",72
