"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь - июнь 2015 г.)"
"Владимирская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",632
"Владимирская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",608
"Владимирская область","3_11","Установлено лиц из числа находившихся в розыске",322
"Владимирская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",276
"Владимирская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",43
"Владимирская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",185
"Владимирская область","3_11","Всего прекращено дел в связи с установлением личности",30
"Владимирская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-29.6969697
"Владимирская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-16.16314199
"Воронежская область","3_11","Всего разыскивалось лиц",1743
"Воронежская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",519
"Воронежская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1068
"Воронежская область","3_11","Установлено лиц из числа находившихся в розыске",1078
"Воронежская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",245
"Воронежская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",681
"Воронежская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",186
"Воронежская область","3_11","Всего прекращено дел в связи с установлением личности",13
"Воронежская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-18.23708207
"Воронежская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",7.624633431
"Ивановская область","3_11","Всего разыскивалось лиц",840
"Ивановская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",463
"Ивановская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",317
"Ивановская область","3_11","Установлено лиц из числа находившихся в розыске",331
"Ивановская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",261
"Ивановская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",26
"Ивановская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",109
"Ивановская область","3_11","Всего прекращено дел в связи с установлением личности",11
"Ивановская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-45.90163934
"Ивановская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-8.253968254
"Калужская область","3_11","Всего разыскивалось лиц",921
"Калужская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",541
"Калужская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",361
"Калужская область","3_11","Установлено лиц из числа находившихся в розыске",257
"Калужская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",227
"Калужская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",15
"Калужская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",416
"Калужская область","3_11","Всего прекращено дел в связи с установлением личности",11
"Калужская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-25.12195122
"Калужская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-14.36031332
"Костромская область","3_11","Всего разыскивалось лиц",489
"Костромская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",211
"Костромская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",278
"Костромская область","3_11","Установлено лиц из числа находившихся в розыске",138
"Костромская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",111
"Костромская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",27
"Костромская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",62
"Костромская область","3_11","Всего прекращено дел в связи с установлением личности",6
"Костромская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-45.19774011
"Костромская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-6.439393939
"Курская область","3_11","Всего разыскивалось лиц",1039
"Курская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",378
"Курская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",648
"Курская область","3_11","Установлено лиц из числа находившихся в розыске",663
"Курская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",206
"Курская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",444
"Курская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",53
"Курская область","3_11","Всего прекращено дел в связи с установлением личности",2
"Курская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-45.33762058
"Курская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-23.84615385
"Липецкая область","3_11","Всего разыскивалось лиц",599
"Липецкая область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",364
"Липецкая область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",235
"Липецкая область","3_11","Установлено лиц из числа находившихся в розыске",208
"Липецкая область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",183
"Липецкая область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",25
"Липецкая область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",64
"Липецкая область","3_11","Всего прекращено дел в связи с установлением личности",0
"Липецкая область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-26.63934426
"Липецкая область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-15.16393443
"г. Москва","3_11","Всего разыскивалось лиц",8721
"г. Москва","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",5340
"г. Москва","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",3132
"г. Москва","3_11","Установлено лиц из числа находившихся в розыске",1581
"г. Москва","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",1037
"г. Москва","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",383
"г. Москва","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",10128
"г. Москва","3_11","Всего прекращено дел в связи с установлением личности",428
"г. Москва","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",9.814669799
"г. Москва","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",8.835341365
"Московская область","3_11","Всего разыскивалось лиц",7443
"Московская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",3887
"Московская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",3548
"Московская область","3_11","Установлено лиц из числа находившихся в розыске",1200
"Московская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",976
"Московская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",218
"Московская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",3337
"Московская область","3_11","Всего прекращено дел в связи с установлением личности",217
"Московская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-16.10194034
"Московская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-13.13185344
"Орловская область","3_11","Всего разыскивалось лиц",628
"Орловская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",394
"Орловская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",229
"Орловская область","3_11","Установлено лиц из числа находившихся в розыске",225
"Орловская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",170
"Орловская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",51
"Орловская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",77
"Орловская область","3_11","Всего прекращено дел в связи с установлением личности",12
"Орловская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-23.52941176
"Орловская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-10.76923077
"Рязанская область","3_11","Всего разыскивалось лиц",721
"Рязанская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",340
"Рязанская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",379
"Рязанская область","3_11","Установлено лиц из числа находившихся в розыске",208
"Рязанская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",150
"Рязанская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",57
"Рязанская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",213
"Рязанская область","3_11","Всего прекращено дел в связи с установлением личности",22
"Рязанская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-34.89208633
"Рязанская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-9.195402299
"Смоленская область","3_11","Всего разыскивалось лиц",1081
"Смоленская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",581
"Смоленская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",497
"Смоленская область","3_11","Установлено лиц из числа находившихся в розыске",276
"Смоленская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",254
"Смоленская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",21
"Смоленская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",142
"Смоленская область","3_11","Всего прекращено дел в связи с установлением личности",12
"Смоленская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-34.84536082
"Смоленская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-12.54681648
"Тамбовская область","3_11","Всего разыскивалось лиц",1086
"Тамбовская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",404
"Тамбовская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",680
"Тамбовская область","3_11","Установлено лиц из числа находившихся в розыске",768
"Тамбовская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",270
"Тамбовская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",496
"Тамбовская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",17
"Тамбовская область","3_11","Всего прекращено дел в связи с установлением личности",1
"Тамбовская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-23.86363636
"Тамбовская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",0
"Тверская область","3_11","Всего разыскивалось лиц",1792
"Тверская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",709
"Тверская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1079
"Тверская область","3_11","Установлено лиц из числа находившихся в розыске",534
"Тверская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",267
"Тверская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",263
"Тверская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",268
"Тверская область","3_11","Всего прекращено дел в связи с установлением личности",11
"Тверская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-39.14327917
"Тверская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-10.40723982
"Тульская область","3_11","Всего разыскивалось лиц",1408
"Тульская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",258
"Тульская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1084
"Тульская область","3_11","Установлено лиц из числа находившихся в розыске",690
"Тульская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",77
"Тульская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",553
"Тульская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",291
"Тульская область","3_11","Всего прекращено дел в связи с установлением личности",46
"Тульская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-45.2887538
"Тульская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-11.13074205
"Ярославская область","3_11","Всего разыскивалось лиц",1846
"Ярославская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",603
"Ярославская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1145
"Ярославская область","3_11","Установлено лиц из числа находившихся в розыске",1057
"Ярославская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",383
"Ярославская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",576
"Ярославская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",162
"Ярославская область","3_11","Всего прекращено дел в связи с установлением личности",14
"Ярославская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-56.11814346
"Ярославская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-22.06303725
"Северо-Западный фед.округ","3_11","Всего разыскивалось лиц",17108
"Северо-Западный фед.округ","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",7567
"Северо-Западный фед.округ","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",8834
"Северо-Западный фед.округ","3_11","Установлено лиц из числа находившихся в розыске",6817
"Северо-Западный фед.округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",3440
"Северо-Западный фед.округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",2694
"Северо-Западный фед.округ","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",4302
"Северо-Западный фед.округ","3_11","Всего прекращено дел в связи с установлением личности",639
"Северо-Западный фед.округ","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-19.11379658
"Северо-Западный фед.округ","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-5.201850965
"Республика Карелия","3_11","Всего разыскивалось лиц",1616
"Республика Карелия","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",461
"Республика Карелия","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1112
"Республика Карелия","3_11","Установлено лиц из числа находившихся в розыске",776
"Республика Карелия","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",280
"Республика Карелия","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",455
"Республика Карелия","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",58
"Республика Карелия","3_11","Всего прекращено дел в связи с установлением личности",3
"Республика Карелия","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-19.02439024
"Республика Карелия","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-12.5
"Республика Коми","3_11","Всего разыскивалось лиц",1894
"Республика Коми","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",1030
"Республика Коми","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",847
"Республика Коми","3_11","Установлено лиц из числа находившихся в розыске",755
"Республика Коми","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",571
"Республика Коми","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",169
"Республика Коми","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",72
"Республика Коми","3_11","Всего прекращено дел в связи с установлением личности",6
"Республика Коми","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",9.852216749
"Республика Коми","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",9.283387622
"Архангельская обл. (с АО )","3_11","Всего разыскивалось лиц",1843
"Архангельская обл. (с АО )","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",561
"Архангельская обл. (с АО )","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1279
"Архангельская обл. (с АО )","3_11","Установлено лиц из числа находившихся в розыске",912
"Архангельская обл. (с АО )","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",354
"Архангельская обл. (с АО )","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",556
"Архангельская обл. (с АО )","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",158
"Архангельская обл. (с АО )","3_11","Всего прекращено дел в связи с установлением личности",57
"Архангельская обл. (с АО )","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-30.44982699
"Архангельская обл. (с АО )","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-1.969057665
"  Архангельская обл. (без а/о)","3_11","Всего разыскивалось лиц",1753
"  Архангельская обл. (без а/о)","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",541
"  Архангельская обл. (без а/о)","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1209
"  Архангельская обл. (без а/о)","3_11","Установлено лиц из числа находившихся в розыске",897
"  Архангельская обл. (без а/о)","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",341
"  Архангельская обл. (без а/о)","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",554
"  Архангельская обл. (без а/о)","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",155
"  Архангельская обл. (без а/о)","3_11","Всего прекращено дел в связи с установлением личности",57
"  Архангельская обл. (без а/о)","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-29.96389892
"  Архангельская обл. (без а/о)","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-0.631911532
"  Ненецкий АО","3_11","Всего разыскивалось лиц",90
"  Ненецкий АО","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",20
"  Ненецкий АО","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",70
