"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь - сентябрь 2015 г.)"
"Брянская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",346
"Брянская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",782
"Брянская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",118
"Брянская область","3_11","Всего прекращено дел в связи с установлением личности",50
"Брянская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-21.29032258
"Брянская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-20.60085837
"Владимирская область","3_11","Всего разыскивалось лиц",1396
"Владимирская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",751
"Владимирская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",628
"Владимирская область","3_11","Установлено лиц из числа находившихся в розыске",462
"Владимирская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",391
"Владимирская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",60
"Владимирская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",193
"Владимирская область","3_11","Всего прекращено дел в связи с установлением личности",41
"Владимирская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-32.49027237
"Владимирская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-18.42496285
"Воронежская область","3_11","Всего разыскивалось лиц",2230
"Воронежская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",639
"Воронежская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1385
"Воронежская область","3_11","Установлено лиц из числа находившихся в розыске",1536
"Воронежская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",350
"Воронежская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",983
"Воронежская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",198
"Воронежская область","3_11","Всего прекращено дел в связи с установлением личности",22
"Воронежская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-16.51917404
"Воронежская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",8.831908832
"Ивановская область","3_11","Всего разыскивалось лиц",1009
"Ивановская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",580
"Ивановская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",335
"Ивановская область","3_11","Установлено лиц из числа находившихся в розыске",491
"Ивановская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",372
"Ивановская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",40
"Ивановская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",114
"Ивановская область","3_11","Всего прекращено дел в связи с установлением личности",17
"Ивановская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-42.45014245
"Ивановская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-8.253968254
"Калужская область","3_11","Всего разыскивалось лиц",1091
"Калужская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",690
"Калужская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",375
"Калужская область","3_11","Установлено лиц из числа находившихся в розыске",407
"Калужская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",356
"Калужская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",29
"Калужская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",422
"Калужская область","3_11","Всего прекращено дел в связи с установлением личности",16
"Калужская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-24.24242424
"Калужская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-16.27296588
"Костромская область","3_11","Всего разыскивалось лиц",540
"Костромская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",250
"Костромская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",290
"Костромская область","3_11","Установлено лиц из числа находившихся в розыске",183
"Костромская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",152
"Костромская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",31
"Костромская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",62
"Костромская область","3_11","Всего прекращено дел в связи с установлением личности",7
"Костромская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-45.71428571
"Костромская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-3.816793893
"Курская область","3_11","Всего разыскивалось лиц",1377
"Курская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",505
"Курская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",849
"Курская область","3_11","Установлено лиц из числа находившихся в розыске",992
"Курская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",327
"Курская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",643
"Курская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",60
"Курская область","3_11","Всего прекращено дел в связи с установлением личности",7
"Курская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-45.65217391
"Курская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-25.84269663
"Липецкая область","3_11","Всего разыскивалось лиц",714
"Липецкая область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",472
"Липецкая область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",242
"Липецкая область","3_11","Установлено лиц из числа находившихся в розыске",310
"Липецкая область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",277
"Липецкая область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",33
"Липецкая область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",68
"Липецкая область","3_11","Всего прекращено дел в связи с установлением личности",1
"Липецкая область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-21.86234818
"Липецкая область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-17.55102041
"г. Москва","3_11","Всего разыскивалось лиц",9491
"г. Москва","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",5850
"г. Москва","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",3345
"г. Москва","3_11","Установлено лиц из числа находившихся в розыске",2184
"г. Москва","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",1419
"г. Москва","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",549
"г. Москва","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",10305
"г. Москва","3_11","Всего прекращено дел в связи с установлением личности",608
"г. Москва","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",9.522587269
"г. Москва","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",8.28378914
"Московская область","3_11","Всего разыскивалось лиц",8069
"Московская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",4315
"Московская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",3744
"Московская область","3_11","Установлено лиц из числа находившихся в розыске",1760
"Московская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",1433
"Московская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",318
"Московская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",3524
"Московская область","3_11","Всего прекращено дел в связи с установлением личности",301
"Московская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-19.51011108
"Московская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-12.35864297
"Орловская область","3_11","Всего разыскивалось лиц",749
"Орловская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",474
"Орловская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",268
"Орловская область","3_11","Установлено лиц из числа находившихся в розыске",352
"Орловская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",255
"Орловская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",90
"Орловская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",82
"Орловская область","3_11","Всего прекращено дел в связи с установлением личности",17
"Орловская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-26.62116041
"Орловская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-11.6751269
"Рязанская область","3_11","Всего разыскивалось лиц",817
"Рязанская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",415
"Рязанская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",400
"Рязанская область","3_11","Установлено лиц из числа находившихся в розыске",292
"Рязанская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",220
"Рязанская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",71
"Рязанская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",219
"Рязанская область","3_11","Всего прекращено дел в связи с установлением личности",26
"Рязанская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-35.66433566
"Рязанская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-8.670520231
"Смоленская область","3_11","Всего разыскивалось лиц",1236
"Смоленская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",721
"Смоленская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",511
"Смоленская область","3_11","Установлено лиц из числа находившихся в розыске",426
"Смоленская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",393
"Смоленская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",30
"Смоленская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",145
"Смоленская область","3_11","Всего прекращено дел в связи с установлением личности",16
"Смоленская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-36.73469388
"Смоленская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-16.18181818
"Тамбовская область","3_11","Всего разыскивалось лиц",1551
"Тамбовская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",525
"Тамбовская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1021
"Тамбовская область","3_11","Установлено лиц из числа находившихся в розыске",1225
"Тамбовская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",391
"Тамбовская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",829
"Тамбовская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",20
"Тамбовская область","3_11","Всего прекращено дел в связи с установлением личности",3
"Тамбовская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-24.43181818
"Тамбовская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-0.540540541
"Тверская область","3_11","Всего разыскивалось лиц",2008
"Тверская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",765
"Тверская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1238
"Тверская область","3_11","Установлено лиц из числа находившихся в розыске",832
"Тверская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",384
"Тверская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",443
"Тверская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",270
"Тверская область","3_11","Всего прекращено дел в связи с установлением личности",13
"Тверская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-48.20895522
"Тверская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-19.06354515
"Тульская область","3_11","Всего разыскивалось лиц",1861
"Тульская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",308
"Тульская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1467
"Тульская область","3_11","Установлено лиц из числа находившихся в розыске",1144
"Тульская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",128
"Тульская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",936
"Тульская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",315
"Тульская область","3_11","Всего прекращено дел в связи с установлением личности",64
"Тульская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-45.75757576
"Тульская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-11.38790036
"Ярославская область","3_11","Всего разыскивалось лиц",2443
"Ярославская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",807
"Ярославская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1508
"Ярославская область","3_11","Установлено лиц из числа находившихся в розыске",1659
"Ярославская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",579
"Ярославская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",953
"Ярославская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",168
"Ярославская область","3_11","Всего прекращено дел в связи с установлением личности",20
"Ярославская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-58.25049702
"Ярославская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-27.19665272
"Северо-Западный фед.округ","3_11","Всего разыскивалось лиц",20807
"Северо-Западный фед.округ","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",9274
"Северо-Западный фед.округ","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",10492
"Северо-Западный фед.округ","3_11","Установлено лиц из числа находившихся в розыске",10365
"Северо-Западный фед.округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",5111
"Северо-Западный фед.округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",4240
"Северо-Западный фед.округ","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",4646
"Северо-Западный фед.округ","3_11","Всего прекращено дел в связи с установлением личности",920
"Северо-Западный фед.округ","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-20.48693587
"Северо-Западный фед.округ","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-5.026244632
"Республика Карелия","3_11","Всего разыскивалось лиц",2044
"Республика Карелия","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",603
"Республика Карелия","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1370
"Республика Карелия","3_11","Установлено лиц из числа находившихся в розыске",1211
"Республика Карелия","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",434
"Республика Карелия","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",707
"Республика Карелия","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",59
"Республика Карелия","3_11","Всего прекращено дел в связи с установлением личности",5
"Республика Карелия","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-26.21359223
"Республика Карелия","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-12.97297297
"Республика Коми","3_11","Всего разыскивалось лиц",2286
"Республика Коми","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",1319
"Республика Коми","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",947
"Республика Коми","3_11","Установлено лиц из числа находившихся в розыске",1127
"Республика Коми","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",850
"Республика Коми","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",257
"Республика Коми","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",85
"Республика Коми","3_11","Всего прекращено дел в связи с установлением личности",11
"Республика Коми","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",5.647058824
"Республика Коми","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",7.424960506
"Архангельская обл. (с АО )","3_11","Всего разыскивалось лиц",2417
"Архангельская обл. (с АО )","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",759
"Архангельская обл. (с АО )","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1653
"Архангельская обл. (с АО )","3_11","Установлено лиц из числа находившихся в розыске",1442
"Архангельская обл. (с АО )","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",537
"Архангельская обл. (с АО )","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",901
"Архангельская обл. (с АО )","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",191
"Архангельская обл. (с АО )","3_11","Всего прекращено дел в связи с установлением личности",85
"Архангельская обл. (с АО )","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-31.51125402
"Архангельская обл. (с АО )","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-0.845070423
"  Архангельская обл. (без а/о)","3_11","Всего разыскивалось лиц",2306
"  Архангельская обл. (без а/о)","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",725
"  Архангельская обл. (без а/о)","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1576
"  Архангельская обл. (без а/о)","3_11","Установлено лиц из числа находившихся в розыске",1419
"  Архангельская обл. (без а/о)","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",517
"  Архангельская обл. (без а/о)","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",898
"  Архангельская обл. (без а/о)","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",188
"  Архангельская обл. (без а/о)","3_11","Всего прекращено дел в связи с установлением личности",85
"  Архангельская обл. (без а/о)","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-33.44481605
"  Архангельская обл. (без а/о)","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-0.316455696
"  Ненецкий АО","3_11","Всего разыскивалось лиц",111
"  Ненецкий АО","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",34
"  Ненецкий АО","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",77
