"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь - март 2016 г.)"
"Калужская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",329
"Калужская область","3_11","Установлено лиц из числа находившихся в розыске",167
"Калужская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",148
"Калужская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",9
"Калужская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",158
"Калужская область","3_11","Всего прекращено дел в связи с установлением личности",3
"Калужская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-21.53110048
"Калужская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-20.3562341
"Костромская область","3_11","Всего разыскивалось лиц",418
"Костромская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",159
"Костромская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",258
"Костромская область","3_11","Установлено лиц из числа находившихся в розыске",68
"Костромская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",60
"Костромская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",8
"Костромская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",32
"Костромская область","3_11","Всего прекращено дел в связи с установлением личности",1
"Костромская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-46.7032967
"Костромская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-8.823529412
"Курская область","3_11","Всего разыскивалось лиц",755
"Курская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",283
"Курская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",455
"Курская область","3_11","Установлено лиц из числа находившихся в розыске",400
"Курская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",121
"Курская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",263
"Курская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",36
"Курская область","3_11","Всего прекращено дел в связи с установлением личности",0
"Курская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-50.3125
"Курская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-28.57142857
"Липецкая область","3_11","Всего разыскивалось лиц",465
"Липецкая область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",259
"Липецкая область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",206
"Липецкая область","3_11","Установлено лиц из числа находившихся в розыске",100
"Липецкая область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",94
"Липецкая область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",6
"Липецкая область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",60
"Липецкая область","3_11","Всего прекращено дел в связи с установлением личности",0
"Липецкая область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-32.36514523
"Липецкая область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-19.10569106
"г. Москва","3_11","Всего разыскивалось лиц",8020
"г. Москва","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",4993
"г. Москва","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",2868
"г. Москва","3_11","Установлено лиц из числа находившихся в розыске",879
"г. Москва","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",597
"г. Москва","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",200
"г. Москва","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",2501
"г. Москва","3_11","Всего прекращено дел в связи с установлением личности",195
"г. Москва","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",10.39325843
"г. Москва","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",5.804643715
"Московская область","3_11","Всего разыскивалось лиц",6374
"Московская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",3171
"Московская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",3199
"Московская область","3_11","Установлено лиц из числа находившихся в розыске",518
"Московская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",438
"Московская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",77
"Московская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",2581
"Московская область","3_11","Всего прекращено дел в связи с установлением личности",85
"Московская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-23.88102801
"Московская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-19.43787759
"Орловская область","3_11","Всего разыскивалось лиц",510
"Орловская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",312
"Орловская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",197
"Орловская область","3_11","Установлено лиц из числа находившихся в розыске",107
"Орловская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",86
"Орловская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",20
"Орловская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",66
"Орловская область","3_11","Всего прекращено дел в связи с установлением личности",4
"Орловская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-22.06896552
"Орловская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-13.5
"Рязанская область","3_11","Всего разыскивалось лиц",576
"Рязанская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",251
"Рязанская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",323
"Рязанская область","3_11","Установлено лиц из числа находившихся в розыске",93
"Рязанская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",74
"Рязанская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",18
"Рязанская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",152
"Рязанская область","3_11","Всего прекращено дел в связи с установлением личности",9
"Рязанская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-34.44444444
"Рязанская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-16.4305949
"Смоленская область","3_11","Всего разыскивалось лиц",907
"Смоленская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",445
"Смоленская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",462
"Смоленская область","3_11","Установлено лиц из числа находившихся в розыске",158
"Смоленская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",149
"Смоленская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",9
"Смоленская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",108
"Смоленская область","3_11","Всего прекращено дел в связи с установлением личности",3
"Смоленская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-40.56795132
"Смоленская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-18.90909091
"Тамбовская область","3_11","Всего разыскивалось лиц",737
"Тамбовская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",283
"Тамбовская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",453
"Тамбовская область","3_11","Установлено лиц из числа находившихся в розыске",423
"Тамбовская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",148
"Тамбовская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",275
"Тамбовская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",17
"Тамбовская область","3_11","Всего прекращено дел в связи с установлением личности",5
"Тамбовская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-21.51162791
"Тамбовская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-1.666666667
"Тверская область","3_11","Всего разыскивалось лиц",1173
"Тверская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",384
"Тверская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",786
"Тверская область","3_11","Установлено лиц из числа находившихся в розыске",176
"Тверская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",83
"Тверская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",91
"Тверская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",212
"Тверская область","3_11","Всего прекращено дел в связи с установлением личности",5
"Тверская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-55.4887218
"Тверская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-27.30299667
"Тульская область","3_11","Всего разыскивалось лиц",1080
"Тульская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",240
"Тульская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",806
"Тульская область","3_11","Установлено лиц из числа находившихся в розыске",390
"Тульская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",66
"Тульская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",295
"Тульская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",219
"Тульская область","3_11","Всего прекращено дел в связи с установлением личности",10
"Тульская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-49.12280702
"Тульская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-14.65968586
"Ярославская область","3_11","Всего разыскивалось лиц",1084
"Ярославская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",371
"Ярославская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",694
"Ярославская область","3_11","Установлено лиц из числа находившихся в розыске",355
"Ярославская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",156
"Ярославская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",180
"Ярославская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",113
"Ярославская область","3_11","Всего прекращено дел в связи с установлением личности",3
"Ярославская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-54.35244161
"Ярославская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-28.97327707
"Северо-Западный фед.округ","3_11","Всего разыскивалось лиц",12951
"Северо-Западный фед.округ","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",5587
"Северо-Западный фед.округ","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",7026
"Северо-Западный фед.округ","3_11","Установлено лиц из числа находившихся в розыске",3008
"Северо-Западный фед.округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",1626
"Северо-Западный фед.округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",1068
"Северо-Западный фед.округ","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",3451
"Северо-Западный фед.округ","3_11","Всего прекращено дел в связи с установлением личности",340
"Северо-Западный фед.округ","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-22.19362502
"Северо-Западный фед.округ","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-8.083832335
"Республика Карелия","3_11","Всего разыскивалось лиц",1228
"Республика Карелия","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",297
"Республика Карелия","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",873
"Республика Карелия","3_11","Установлено лиц из числа находившихся в розыске",429
"Республика Карелия","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",143
"Республика Карелия","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",229
"Республика Карелия","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",34
"Республика Карелия","3_11","Всего прекращено дел в связи с установлением личности",0
"Республика Карелия","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-30.63063063
"Республика Карелия","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-16.09042553
"Республика Коми","3_11","Всего разыскивалось лиц",1376
"Республика Коми","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",659
"Республика Коми","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",710
"Республика Коми","3_11","Установлено лиц из числа находившихся в розыске",275
"Республика Коми","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",227
"Республика Коми","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",44
"Республика Коми","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",64
"Республика Коми","3_11","Всего прекращено дел в связи с установлением личности",2
"Республика Коми","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-1.851851852
"Республика Коми","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",7.281553398
"Архангельская обл. (с АО )","3_11","Всего разыскивалось лиц",1337
"Архангельская обл. (с АО )","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",394
"Архангельская обл. (с АО )","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",940
"Архангельская обл. (с АО )","3_11","Установлено лиц из числа находившихся в розыске",408
"Архангельская обл. (с АО )","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",183
"Архангельская обл. (с АО )","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",223
"Архангельская обл. (с АО )","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",86
"Архангельская обл. (с АО )","3_11","Всего прекращено дел в связи с установлением личности",18
"Архангельская обл. (с АО )","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-33.76205788
"Архангельская обл. (с АО )","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-2.331961591
"  Архангельская обл. (без а/о)","3_11","Всего разыскивалось лиц",1239
"  Архангельская обл. (без а/о)","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",378
"  Архангельская обл. (без а/о)","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",858
"  Архангельская обл. (без а/о)","3_11","Установлено лиц из числа находившихся в розыске",399
"  Архангельская обл. (без а/о)","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",177
"  Архангельская обл. (без а/о)","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",220
"  Архангельская обл. (без а/о)","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",83
"  Архангельская обл. (без а/о)","3_11","Всего прекращено дел в связи с установлением личности",18
"  Архангельская обл. (без а/о)","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-33.78378378
"  Архангельская обл. (без а/о)","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-2.764976959
"  Ненецкий АО","3_11","Всего разыскивалось лиц",98
"  Ненецкий АО","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",16
"  Ненецкий АО","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",82
"  Ненецкий АО","3_11","Установлено лиц из числа находившихся в розыске",9
