"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь - декабрь 2015 г.)"
"Московская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",3750
"Московская область","3_11","Всего прекращено дел в связи с установлением личности",391
"Московская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-23.28805886
"Московская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-15.3825211
"Орловская область","3_11","Всего разыскивалось лиц",904
"Орловская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",598
"Орловская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",297
"Орловская область","3_11","Установлено лиц из числа находившихся в розыске",474
"Орловская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",353
"Орловская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",114
"Орловская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",86
"Орловская область","3_11","Всего прекращено дел в связи с установлением личности",20
"Орловская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-15.14084507
"Орловская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-7.25388601
"Рязанская область","3_11","Всего разыскивалось лиц",906
"Рязанская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",487
"Рязанская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",417
"Рязанская область","3_11","Установлено лиц из числа находившихся в розыске",375
"Рязанская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",284
"Рязанская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",90
"Рязанская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",230
"Рязанская область","3_11","Всего прекращено дел в связи с установлением личности",34
"Рязанская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-35.90604027
"Рязанская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-13.39031339
"Смоленская область","3_11","Всего разыскивалось лиц",1402
"Смоленская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",881
"Смоленская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",517
"Смоленская область","3_11","Установлено лиц из числа находившихся в розыске",586
"Смоленская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",549
"Смоленская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",33
"Смоленская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",151
"Смоленская область","3_11","Всего прекращено дел в связи с установлением личности",22
"Смоленская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-38.49206349
"Смоленская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-16.45101664
"Тамбовская область","3_11","Всего разыскивалось лиц",2066
"Тамбовская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",722
"Тамбовская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1338
"Тамбовская область","3_11","Установлено лиц из числа находившихся в розыске",1728
"Тамбовская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",577
"Тамбовская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",1145
"Тамбовская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",23
"Тамбовская область","3_11","Всего прекращено дел в связи с установлением личности",6
"Тамбовская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-18.28571429
"Тамбовская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-4.301075269
"Тверская область","3_11","Всего разыскивалось лиц",2180
"Тверская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",838
"Тверская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1332
"Тверская область","3_11","Установлено лиц из числа находившихся в розыске",1030
"Тверская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",475
"Тверская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",545
"Тверская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",280
"Тверская область","3_11","Всего прекращено дел в связи с установлением личности",18
"Тверская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-52.08333333
"Тверская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-21.23595506
"Тульская область","3_11","Всего разыскивалось лиц",2212
"Тульская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",361
"Тульская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1746
"Тульская область","3_11","Установлено лиц из числа находившихся в розыске",1483
"Тульская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",174
"Тульская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",1209
"Тульская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",331
"Тульская область","3_11","Всего прекращено дел в связи с установлением личности",85
"Тульская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-42.76923077
"Тульская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-11.96428571
"Ярославская область","3_11","Всего разыскивалось лиц",2858
"Ярославская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",1050
"Ярославская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1659
"Ярославская область","3_11","Установлено лиц из числа находившихся в розыске",2069
"Ярославская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",811
"Ярославская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",1111
"Ярославская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",178
"Ярославская область","3_11","Всего прекращено дел в связи с установлением личности",26
"Ярославская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-57.421875
"Ярославская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-29.77839335
"Северо-Западный фед.округ","3_11","Всего разыскивалось лиц",24330
"Северо-Западный фед.округ","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",11107
"Северо-Западный фед.округ","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",11916
"Северо-Западный фед.округ","3_11","Установлено лиц из числа находившихся в розыске",13739
"Северо-Западный фед.округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",6879
"Северо-Западный фед.округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",5584
"Северо-Западный фед.округ","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",5005
"Северо-Западный фед.округ","3_11","Всего прекращено дел в связи с установлением личности",1232
"Северо-Западный фед.округ","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-20.64705882
"Северо-Западный фед.округ","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-5.909378961
"Республика Карелия","3_11","Всего разыскивалось лиц",2470
"Республика Карелия","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",768
"Республика Карелия","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1610
"Республика Карелия","3_11","Установлено лиц из числа находившихся в розыске",1636
"Республика Карелия","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",605
"Республика Карелия","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",940
"Республика Карелия","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",59
"Республика Карелия","3_11","Всего прекращено дел в связи с установлением личности",6
"Республика Карелия","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-33.7962963
"Республика Карелия","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-13.26949384
"Республика Коми","3_11","Всего разыскивалось лиц",2617
"Республика Коми","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",1595
"Республика Коми","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",998
"Республика Коми","3_11","Установлено лиц из числа находившихся в розыске",1483
"Республика Коми","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",1145
"Республика Коми","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",314
"Республика Коми","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",89
"Республика Коми","3_11","Всего прекращено дел в связи с установлением личности",18
"Республика Коми","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-2.088167053
"Республика Коми","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",6.92431562
"Архангельская обл. (с АО )","3_11","Всего разыскивалось лиц",2888
"Архангельская обл. (с АО )","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",955
"Архангельская обл. (с АО )","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1928
"Архангельская обл. (с АО )","3_11","Установлено лиц из числа находившихся в розыске",1879
"Архангельская обл. (с АО )","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",725
"Архангельская обл. (с АО )","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",1150
"Архангельская обл. (с АО )","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",210
"Архангельская обл. (с АО )","3_11","Всего прекращено дел в связи с установлением личности",105
"Архангельская обл. (с АО )","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-27.96052632
"Архангельская обл. (с АО )","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",0
"  Архангельская обл. (без а/о)","3_11","Всего разыскивалось лиц",2756
"  Архангельская обл. (без а/о)","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",906
"  Архангельская обл. (без а/о)","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1845
"  Архангельская обл. (без а/о)","3_11","Установлено лиц из числа находившихся в розыске",1835
"  Архангельская обл. (без а/о)","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",685
"  Архангельская обл. (без а/о)","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",1146
"  Архангельская обл. (без а/о)","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",206
"  Архангельская обл. (без а/о)","3_11","Всего прекращено дел в связи с установлением личности",104
"  Архангельская обл. (без а/о)","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-28.32764505
"  Архангельская обл. (без а/о)","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-0.156739812
"  Ненецкий АО","3_11","Всего разыскивалось лиц",132
"  Ненецкий АО","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",49
"  Ненецкий АО","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",83
