"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь - июнь 2014 г.)"
"Ивановская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",316
"Ивановская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",37
"Ивановская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",400
"Ивановская область","3_11","Всего прекращено дел в связи с установлением личности",29
"Ивановская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-29.50819672
"Ивановская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-5.079365079
"Калужская область","3_11","Всего разыскивалось лиц",1045
"Калужская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",613
"Калужская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",406
"Калужская область","3_11","Установлено лиц из числа находившихся в розыске",307
"Калужская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",242
"Калужская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",45
"Калужская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",476
"Калужская область","3_11","Всего прекращено дел в связи с установлением личности",39
"Калужская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-14.3902439
"Калужская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-7.832898172
"Костромская область","3_11","Всего разыскивалось лиц",551
"Костромская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",258
"Костромская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",293
"Костромская область","3_11","Установлено лиц из числа находившихся в розыске",161
"Костромская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",128
"Костромская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",33
"Костромская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",142
"Костромская область","3_11","Всего прекращено дел в связи с установлением личности",13
"Костромская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-29.37853107
"Костромская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-3.03030303
"Курская область","3_11","Всего разыскивалось лиц",1226
"Курская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",429
"Курская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",740
"Курская область","3_11","Установлено лиц из числа находившихся в розыске",793
"Курская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",223
"Курская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",516
"Курская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",136
"Курская область","3_11","Всего прекращено дел в связи с установлением личности",16
"Курская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-33.76205788
"Курская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-15.38461538
"Липецкая область","3_11","Всего разыскивалось лиц",651
"Липецкая область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",395
"Липецкая область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",256
"Липецкая область","3_11","Установлено лиц из числа находившихся в розыске",223
"Липецкая область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",194
"Липецкая область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",29
"Липецкая область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",189
"Липецкая область","3_11","Всего прекращено дел в связи с установлением личности",9
"Липецкая область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-18.03278689
"Липецкая область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-10.24590164
"г. Москва","3_11","Всего разыскивалось лиц",8803
"г. Москва","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",5410
"г. Москва","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",3180
"г. Москва","3_11","Установлено лиц из числа находившихся в розыске",1577
"г. Москва","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",1052
"г. Москва","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",396
"г. Москва","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",12153
"г. Москва","3_11","Всего прекращено дел в связи с установлением личности",423
"г. Москва","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",12.39885147
"г. Москва","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",10.68273092
"Московская область","3_11","Всего разыскивалось лиц",7770
"Московская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",4072
"Московская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",3698
"Московская область","3_11","Установлено лиц из числа находившихся в розыске",1196
"Московская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",974
"Московская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",222
"Московская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",9320
"Московская область","3_11","Всего прекращено дел в связи с установлением личности",301
"Московская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-14.79872575
"Московская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-9.601497727
"Орловская область","3_11","Всего разыскивалось лиц",646
"Орловская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",398
"Орловская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",244
"Орловская область","3_11","Установлено лиц из числа находившихся в розыске",223
"Орловская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",165
"Орловская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",56
"Орловская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",161
"Орловская область","3_11","Всего прекращено дел в связи с установлением личности",13
"Орловская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-20.41522491
"Орловская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-7.692307692
"Рязанская область","3_11","Всего разыскивалось лиц",770
"Рязанская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",354
"Рязанская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",413
"Рязанская область","3_11","Установлено лиц из числа находившихся в розыске",215
"Рязанская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",144
"Рязанская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",68
"Рязанская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",660
"Рязанская область","3_11","Всего прекращено дел в связи с установлением личности",39
"Рязанская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-25.17985612
"Рязанская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-3.735632184
"Смоленская область","3_11","Всего разыскивалось лиц",1338
"Смоленская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",761
"Смоленская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",574
"Смоленская область","3_11","Установлено лиц из числа находившихся в розыске",424
"Смоленская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",368
"Смоленская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",53
"Смоленская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",635
"Смоленская область","3_11","Всего прекращено дел в связи с установлением личности",18
"Смоленская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-19.79381443
"Смоленская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-6.554307116
"Тамбовская область","3_11","Всего разыскивалось лиц",1072
"Тамбовская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",394
"Тамбовская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",673
"Тамбовская область","3_11","Установлено лиц из числа находившихся в розыске",746
"Тамбовская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",252
"Тамбовская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",489
"Тамбовская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",25
"Тамбовская область","3_11","Всего прекращено дел в связи с установлением личности",5
"Тамбовская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-19.88636364
"Тамбовская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",2.247191011
"Тверская область","3_11","Всего разыскивалось лиц",1893
"Тверская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",756
"Тверская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1129
"Тверская область","3_11","Установлено лиц из числа находившихся в розыске",508
"Тверская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",239
"Тверская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",261
"Тверская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",1113
"Тверская область","3_11","Всего прекращено дел в связи с установлением личности",15
"Тверская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-24.51994092
"Тверская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-5.20361991
"Тульская область","3_11","Всего разыскивалось лиц",1472
"Тульская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",257
"Тульская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1112
"Тульская область","3_11","Установлено лиц из числа находившихся в розыске",749
"Тульская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",79
"Тульская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",570
"Тульская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",952
"Тульская область","3_11","Всего прекращено дел в связи с установлением личности",54
"Тульская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-46.2006079
"Тульская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-7.77385159
"Ярославская область","3_11","Всего разыскивалось лиц",2094
"Ярославская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",680
"Ярославская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1214
"Ярославская область","3_11","Установлено лиц из числа находившихся в розыске",1167
"Ярославская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",402
"Ярославская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",569
"Ярославская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",578
"Ярославская область","3_11","Всего прекращено дел в связи с установлением личности",13
"Ярославская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-42.40506329
"Ярославская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-17.47851003
"Северо-Западный фед.округ","3_11","Всего разыскивалось лиц",16971
"Северо-Западный фед.округ","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",7605
"Северо-Западный фед.округ","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",8893
"Северо-Западный фед.округ","3_11","Установлено лиц из числа находившихся в розыске",6390
"Северо-Западный фед.округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",3382
"Северо-Западный фед.округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",2561
"Северо-Западный фед.округ","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",12813
"Северо-Западный фед.округ","3_11","Всего прекращено дел в связи с установлением личности",800
"Северо-Западный фед.округ","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-17.20040282
"Северо-Западный фед.округ","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-1.30844104
"Республика Карелия","3_11","Всего разыскивалось лиц",1441
"Республика Карелия","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",394
"Республика Карелия","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1040
"Республика Карелия","3_11","Установлено лиц из числа находившихся в розыске",566
"Республика Карелия","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",216
"Республика Карелия","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",344
"Республика Карелия","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",287
"Республика Карелия","3_11","Всего прекращено дел в связи с установлением личности",6
"Республика Карелия","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-14.63414634
"Республика Карелия","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-8.73655914
"Республика Коми","3_11","Всего разыскивалось лиц",1820
"Республика Коми","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",965
"Республика Коми","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",843
"Республика Коми","3_11","Установлено лиц из числа находившихся в розыске",791
"Республика Коми","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",591
"Республика Коми","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",189
"Республика Коми","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",273
"Республика Коми","3_11","Всего прекращено дел в связи с установлением личности",18
"Республика Коми","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-10.83743842
"Республика Коми","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",5.048859935
"Архангельская обл. (с АО )","3_11","Всего разыскивалось лиц",1879
"Архангельская обл. (с АО )","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",597
"Архангельская обл. (с АО )","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1264
"Архангельская обл. (с АО )","3_11","Установлено лиц из числа находившихся в розыске",896
"Архангельская обл. (с АО )","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",348
"Архангельская обл. (с АО )","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",531
"Архангельская обл. (с АО )","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",235
"Архангельская обл. (с АО )","3_11","Всего прекращено дел в связи с установлением личности",68
"Архангельская обл. (с АО )","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-20.76124567
"Архангельская обл. (с АО )","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",0.984528833
"  Архангельская обл. (без а/о)","3_11","Всего разыскивалось лиц",1766
"  Архангельская обл. (без а/о)","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",565
"  Архангельская обл. (без а/о)","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1183
"  Архангельская обл. (без а/о)","3_11","Установлено лиц из числа находившихся в розыске",864
"  Архангельская обл. (без а/о)","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",326
"  Архангельская обл. (без а/о)","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",521
"  Архангельская обл. (без а/о)","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",232
"  Архангельская обл. (без а/о)","3_11","Всего прекращено дел в связи с установлением личности",67
"  Архангельская обл. (без а/о)","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-20.93862816
"  Архангельская обл. (без а/о)","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",2.52764613
"  Ненецкий АО","3_11","Всего разыскивалось лиц",113
"  Ненецкий АО","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",32
"  Ненецкий АО","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",81
"  Ненецкий АО","3_11","Установлено лиц из числа находившихся в розыске",32
"  Ненецкий АО","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",22
"  Ненецкий АО","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",10
"  Ненецкий АО","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",3
"  Ненецкий АО","3_11","Всего прекращено дел в связи с установлением личности",1
"  Ненецкий АО","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-16.66666667
"  Ненецкий АО","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-11.53846154
"Вологодская область","3_11","Всего разыскивалось лиц",1926
"Вологодская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",606
"Вологодская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1091
"Вологодская область","3_11","Установлено лиц из числа находившихся в розыске",1295
"Вологодская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",425
"Вологодская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",643
"Вологодская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",134
"Вологодская область","3_11","Всего прекращено дел в связи с установлением личности",12
"Вологодская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-13.30049261
"Вологодская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",25
"Калининградская область","3_11","Всего разыскивалось лиц",685
"Калининградская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",253
"Калининградская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",407
"Калининградская область","3_11","Установлено лиц из числа находившихся в розыске",239
"Калининградская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",111
"Калининградская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",107
"Калининградская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",122
"Калининградская область","3_11","Всего прекращено дел в связи с установлением личности",5
"Калининградская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-30.84577114
"Калининградская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-9.119496855
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Всего разыскивалось лиц",6587
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",3550
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",2969
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Установлено лиц из числа находившихся в розыске",1578
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",1087
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",430
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",11035
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Всего прекращено дел в связи с установлением личности",635
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-15.64363381
"ГУВД г.Санкт-Петерб. и Лен.обл","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-4.123314066
"  Ленинградская область","3_11","Всего разыскивалось лиц",2124
"  Ленинградская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",818
"  Ленинградская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1296
"  Ленинградская область","3_11","Установлено лиц из числа находившихся в розыске",468
"  Ленинградская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",316
"  Ленинградская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",142
"  Ленинградская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",2742
"  Ленинградская область","3_11","Всего прекращено дел в связи с установлением личности",163
"  Ленинградская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-22.31139647
"  Ленинградская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-2.504317789
"  г. Санкт-Петербург","3_11","Всего разыскивалось лиц",4463
"  г. Санкт-Петербург","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",2732
"  г. Санкт-Петербург","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1673
"  г. Санкт-Петербург","3_11","Установлено лиц из числа находившихся в розыске",1110
"  г. Санкт-Петербург","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",771
"  г. Санкт-Петербург","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",288
"  г. Санкт-Петербург","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",8293
"  г. Санкт-Петербург","3_11","Всего прекращено дел в связи с установлением личности",472
"  г. Санкт-Петербург","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-13.77917415
"  г. Санкт-Петербург","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-5.427974948
"Мурманская область","3_11","Всего разыскивалось лиц",811
