"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь - июнь 2017 г.)"
"Брянская область","3_11","Установлено лиц из числа находившихся в розыске",598
"Брянская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",159
"Брянская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",435
"Брянская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",61
"Брянская область","3_11","Всего прекращено дел в связи с установлением личности",11
"Брянская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-46.5408805
"Брянская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-29.23076923
"Владимирская область","3_11","Всего разыскивалось лиц",1023
"Владимирская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",495
"Владимирская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",525
"Владимирская область","3_11","Установлено лиц из числа находившихся в розыске",266
"Владимирская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",222
"Владимирская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",44
"Владимирская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",123
"Владимирская область","3_11","Всего прекращено дел в связи с установлением личности",16
"Владимирская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-45.85858586
"Владимирская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-29.00302115
"Воронежская область","3_11","Всего разыскивалось лиц",1733
"Воронежская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",477
"Воронежская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1103
"Воронежская область","3_11","Установлено лиц из числа находившихся в розыске",1063
"Воронежская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",199
"Воронежская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",721
"Воронежская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",170
"Воронежская область","3_11","Всего прекращено дел в связи с установлением личности",12
"Воронежская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-17.32522796
"Воронежская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",6.451612903
"Ивановская область","3_11","Всего разыскивалось лиц",710
"Ивановская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",358
"Ивановская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",296
"Ивановская область","3_11","Установлено лиц из числа находившихся в розыске",231
"Ивановская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",176
"Ивановская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",15
"Ивановская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",84
"Ивановская область","3_11","Всего прекращено дел в связи с установлением личности",9
"Ивановская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-50.81967213
"Ивановская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-13.01587302
"Калужская область","3_11","Всего разыскивалось лиц",955
"Калужская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",600
"Калужская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",330
"Калужская область","3_11","Установлено лиц из числа находившихся в розыске",308
"Калужская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",260
"Калужская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",28
"Калужская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",125
"Калужская область","3_11","Всего прекращено дел в связи с установлением личности",9
"Калужская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-17.56097561
"Калужская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-24.02088773
"Костромская область","3_11","Всего разыскивалось лиц",420
"Костромская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",164
"Костромская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",256
"Костромская область","3_11","Установлено лиц из числа находившихся в розыске",86
"Костромская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",72
"Костромская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",14
"Костромская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",28
"Костромская область","3_11","Всего прекращено дел в связи с установлением личности",2
"Костромская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-51.41242938
"Костромская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-9.46969697
"Курская область","3_11","Всего разыскивалось лиц",1008
"Курская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",362
"Курская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",639
"Курская область","3_11","Установлено лиц из числа находившихся в розыске",669
"Курская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",207
"Курская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",455
"Курская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",35
"Курская область","3_11","Всего прекращено дел в связи с установлением личности",6
"Курская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-51.12540193
"Курская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-30.76923077
"Липецкая область","3_11","Всего разыскивалось лиц",496
"Липецкая область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",296
"Липецкая область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",199
"Липецкая область","3_11","Установлено лиц из числа находившихся в розыске",139
"Липецкая область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",126
"Липецкая область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",12
"Липецкая область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",60
"Липецкая область","3_11","Всего прекращено дел в связи с установлением личности",2
"Липецкая область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-32.37704918
"Липецкая область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-25.40983607
"г. Москва","3_11","Всего разыскивалось лиц",9182
"г. Москва","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",5864
"г. Москва","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",3079
"г. Москва","3_11","Установлено лиц из числа находившихся в розыске",1581
"г. Москва","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",971
"г. Москва","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",428
"г. Москва","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",2271
"г. Москва","3_11","Всего прекращено дел в связи с установлением личности",384
"г. Москва","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",22.29182981
"г. Москва","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",3.815261044
"Московская область","3_11","Всего разыскивалось лиц",6394
"Московская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",3391
"Московская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",2997
"Московская область","3_11","Установлено лиц из числа находившихся в розыске",908
"Московская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",752
"Московская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",152
"Московская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",2466
"Московская область","3_11","Всего прекращено дел в связи с установлением личности",150
"Московская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-31.42195193
"Московская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-26.66488366
"Орловская область","3_11","Всего разыскивалось лиц",536
"Орловская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",329
"Орловская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",207
"Орловская область","3_11","Установлено лиц из числа находившихся в розыске",165
"Орловская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",129
"Орловская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",36
"Орловская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",59
"Орловская область","3_11","Всего прекращено дел в связи с установлением личности",4
"Орловская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-31.83391003
"Орловская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-13.84615385
"Рязанская область","3_11","Всего разыскивалось лиц",618
"Рязанская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",287
"Рязанская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",320
"Рязанская область","3_11","Установлено лиц из числа находившихся в розыске",164
"Рязанская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",122
"Рязанская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",34
"Рязанская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",118
"Рязанская область","3_11","Всего прекращено дел в связи с установлением личности",9
"Рязанская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-44.24460432
"Рязанская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-21.55172414
"Смоленская область","3_11","Всего разыскивалось лиц",919
"Смоленская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",471
"Смоленская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",445
"Смоленская область","3_11","Установлено лиц из числа находившихся в розыске",252
"Смоленская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",210
"Смоленская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",39
"Смоленская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",106
"Смоленская область","3_11","Всего прекращено дел в связи с установлением личности",10
"Смоленская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-46.59793814
"Смоленская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-26.40449438
"Тамбовская область","3_11","Всего разыскивалось лиц",1347
"Тамбовская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",336
"Тамбовская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1008
"Тамбовская область","3_11","Установлено лиц из числа находившихся в розыске",1057
"Тамбовская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",218
"Тамбовская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",836
"Тамбовская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",14
"Тамбовская область","3_11","Всего прекращено дел в связи с установлением личности",2
"Тамбовская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-35.22727273
"Тамбовская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-8.426966292
"Тверская область","3_11","Всего разыскивалось лиц",1013
"Тверская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",281
"Тверская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",728
"Тверская область","3_11","Установлено лиц из числа находившихся в розыске",198
"Тверская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",68
"Тверская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",126
"Тверская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",198
"Тверская область","3_11","Всего прекращено дел в связи с установлением личности",5
"Тверская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-70.01477105
"Тверская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-35.40723982
"Тульская область","3_11","Всего разыскивалось лиц",1250
"Тульская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",267
"Тульская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",939
"Тульская область","3_11","Установлено лиц из числа находившихся в розыске",587
"Тульская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",84
"Тульская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",463
"Тульская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",211
"Тульская область","3_11","Всего прекращено дел в связи с установлением личности",11
"Тульская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-44.68085106
"Тульская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-21.20141343
"Ярославская область","3_11","Всего разыскивалось лиц",1419
"Ярославская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",509
"Ярославская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",875
"Ярославская область","3_11","Установлено лиц из числа находившихся в розыске",736
"Ярославская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",304
"Ярославская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",397
"Ярославская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",112
"Ярославская область","3_11","Всего прекращено дел в связи с установлением личности",10
"Ярославская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-59.49367089
"Ярославская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-33.38108883
"Северо-Западный фед.округ","3_11","Всего разыскивалось лиц",14507
"Северо-Западный фед.округ","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",6031
"Северо-Западный фед.округ","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",7579
"Северо-Западный фед.округ","3_11","Установлено лиц из числа находившихся в розыске",5468
"Северо-Западный фед.округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",2461
"Северо-Западный фед.округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",2127
"Северо-Западный фед.округ","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",2868
"Северо-Западный фед.округ","3_11","Всего прекращено дел в связи с установлением личности",469
"Северо-Западный фед.округ","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-30.27190332
"Северо-Западный фед.округ","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-18.46178395
"Республика Карелия","3_11","Всего разыскивалось лиц",1932
"Республика Карелия","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",464
"Республика Карелия","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1056
"Республика Карелия","3_11","Установлено лиц из числа находившихся в розыске",1226
"Республика Карелия","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",319
"Республика Карелия","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",496
"Республика Карелия","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",36
"Республика Карелия","3_11","Всего прекращено дел в связи с установлением личности",7
"Республика Карелия","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-33.17073171
"Республика Карелия","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-26.07526882
"Республика Коми","3_11","Всего разыскивалось лиц",1147
"Республика Коми","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",522
"Республика Коми","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",601
"Республика Коми","3_11","Установлено лиц из числа находившихся в розыске",269
"Республика Коми","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",221
"Республика Коми","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",26
"Республика Коми","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",68
"Республика Коми","3_11","Всего прекращено дел в связи с установлением личности",5
"Республика Коми","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-30.78817734
"Республика Коми","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-16.7752443
"Архангельская обл. (с АО )","3_11","Всего разыскивалось лиц",1615
"Архангельская обл. (с АО )","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",465
"Архангельская обл. (с АО )","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1147
"Архангельская обл. (с АО )","3_11","Установлено лиц из числа находившихся в розыске",708
"Архангельская обл. (с АО )","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",273
"Архангельская обл. (с АО )","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",434
"Архангельская обл. (с АО )","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",69
"Архангельская обл. (с АО )","3_11","Всего прекращено дел в связи с установлением личности",11
"Архангельская обл. (с АО )","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-35.29411765
"Архангельская обл. (с АО )","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-2.109704641
"  Архангельская обл. (без а/о)","3_11","Всего разыскивалось лиц",1526
"  Архангельская обл. (без а/о)","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",444
"  Архангельская обл. (без а/о)","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1079
"  Архангельская обл. (без а/о)","3_11","Установлено лиц из числа находившихся в розыске",693
"  Архангельская обл. (без а/о)","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",263
"  Архангельская обл. (без а/о)","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",429
"  Архангельская обл. (без а/о)","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",67
"  Архангельская обл. (без а/о)","3_11","Всего прекращено дел в связи с установлением личности",10
"  Архангельская обл. (без а/о)","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-36.10108303
"  Архангельская обл. (без а/о)","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",0
"  Ненецкий АО","3_11","Всего разыскивалось лиц",89
"  Ненецкий АО","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",21
"  Ненецкий АО","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",68
