"Субъект","Пункт ФПСР","Наименование статистического показателя","Значение статистического показателя (за январь - декабрь 2016 г.)"
"Владимирская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",177
"Владимирская область","3_11","Всего прекращено дел в связи с установлением личности",39
"Владимирская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-43.05283757
"Владимирская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-26.23688156
"Воронежская область","3_11","Всего разыскивалось лиц",2703
"Воронежская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",654
"Воронежская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1748
"Воронежская область","3_11","Установлено лиц из числа находившихся в розыске",2015
"Воронежская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",363
"Воронежская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",1355
"Воронежская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",190
"Воронежская область","3_11","Всего прекращено дел в связи с установлением личности",26
"Воронежская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-17.87878788
"Воронежская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",7.492795389
"Ивановская область","3_11","Всего разыскивалось лиц",1130
"Ивановская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",678
"Ивановская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",345
"Ивановская область","3_11","Установлено лиц из числа находившихся в розыске",598
"Ивановская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",462
"Ивановская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",48
"Ивановская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",109
"Ивановская область","3_11","Всего прекращено дел в связи с установлением личности",20
"Ивановская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-46.17563739
"Ивановская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-9.904153355
"Калужская область","3_11","Всего разыскивалось лиц",1378
"Калужская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",960
"Калужская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",375
"Калужская область","3_11","Установлено лиц из числа находившихся в розыске",665
"Калужская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",582
"Калужская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",46
"Калужская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",177
"Калужская область","3_11","Всего прекращено дел в связи с установлением личности",24
"Калужская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-21.21212121
"Калужская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-21.10817942
"Костромская область","3_11","Всего разыскивалось лиц",568
"Костромская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",279
"Костромская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",288
"Костромская область","3_11","Установлено лиц из числа находившихся в розыске",205
"Костромская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",174
"Костромская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",30
"Костромская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",36
"Костромская область","3_11","Всего прекращено дел в связи с установлением личности",1
"Костромская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-45.93023256
"Костромская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-5.703422053
"Курская область","3_11","Всего разыскивалось лиц",1849
"Курская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",662
"Курская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1142
"Курская область","3_11","Установлено лиц из числа находившихся в розыске",1450
"Курская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",451
"Курская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",954
"Курская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",45
"Курская область","3_11","Всего прекращено дел в связи с установлением личности",8
"Курская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-42.63803681
"Курская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-30.71161049
"Липецкая область","3_11","Всего разыскивалось лиц",717
"Липецкая область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",485
"Липецкая область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",231
"Липецкая область","3_11","Установлено лиц из числа находившихся в розыске",321
"Липецкая область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",292
"Липецкая область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",29
"Липецкая область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",71
"Липецкая область","3_11","Всего прекращено дел в связи с установлением личности",5
"Липецкая область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-23.75
"Липецкая область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-24.27983539
"г. Москва","3_11","Всего разыскивалось лиц",11037
"г. Москва","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",7079
"г. Москва","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",3563
"г. Москва","3_11","Установлено лиц из числа находившихся в розыске",3106
"г. Москва","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",2019
"г. Москва","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",776
"г. Москва","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",3035
"г. Москва","3_11","Всего прекращено дел в связи с установлением личности",649
"г. Москва","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",4.962779156
"г. Москва","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",4.597249509
"Московская область","3_11","Всего разыскивалось лиц",8145
"Московская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",4645
"Московская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",3488
"Московская область","3_11","Установлено лиц из числа находившихся в розыске",1879
"Московская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",1510
"Московская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",360
"Московская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",2968
"Московская область","3_11","Всего прекращено дел в связи с установлением личности",303
"Московская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-27.61743067
"Московская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-21.97114076
"Орловская область","3_11","Всего разыскивалось лиц",803
"Орловская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",553
"Орловская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",249
"Орловская область","3_11","Установлено лиц из числа находившихся в розыске",388
"Орловская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",316
"Орловская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",71
"Орловская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",78
"Орловская область","3_11","Всего прекращено дел в связи с установлением личности",15
"Орловская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-22.18309859
"Орловская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-9.844559585
"Рязанская область","3_11","Всего разыскивалось лиц",823
"Рязанская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",436
"Рязанская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",379
"Рязанская область","3_11","Установлено лиц из числа находившихся в розыске",319
"Рязанская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",247
"Рязанская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",68
"Рязанская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",176
"Рязанская область","3_11","Всего прекращено дел в связи с установлением личности",38
"Рязанская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-42.95302013
"Рязанская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-18.51851852
"Смоленская область","3_11","Всего разыскивалось лиц",1311
"Смоленская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",822
"Смоленская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",483
"Смоленская область","3_11","Установлено лиц из числа находившихся в розыске",535
"Смоленская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",505
"Смоленская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",24
"Смоленская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",125
"Смоленская область","3_11","Всего прекращено дел в связи с установлением личности",15
"Смоленская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-41.46825397
"Смоленская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-21.44177449
"Тамбовская область","3_11","Всего разыскивалось лиц",2342
"Тамбовская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",689
"Тамбовская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1649
"Тамбовская область","3_11","Установлено лиц из числа находившихся в розыске",2029
"Тамбовская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",558
"Тамбовская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",1467
"Тамбовская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",24
"Тамбовская область","3_11","Всего прекращено дел в связи с установлением личности",10
"Тамбовская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-31.42857143
"Тамбовская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-5.913978495
"Тверская область","3_11","Всего разыскивалось лиц",1618
"Тверская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",497
"Тверская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1113
"Тверская область","3_11","Установлено лиц из числа находившихся в розыске",613
"Тверская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",219
"Тверская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",386
"Тверская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",232
"Тверская область","3_11","Всего прекращено дел в связи с установлением личности",23
"Тверская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-67.41071429
"Тверская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-30.56179775
"Тульская область","3_11","Всего разыскивалось лиц",2203
"Тульская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",402
"Тульская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1626
"Тульская область","3_11","Установлено лиц из числа находившихся в розыске",1487
"Тульская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",204
"Тульская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",1111
"Тульская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",268
"Тульская область","3_11","Всего прекращено дел в связи с установлением личности",51
"Тульская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-42.46153846
"Тульская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-17.14285714
"Ярославская область","3_11","Всего разыскивалось лиц",2282
"Ярославская область","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",780
"Ярославская область","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1439
"Ярославская область","3_11","Установлено лиц из числа находившихся в розыске",1552
"Ярославская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",567
"Ярославская область","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",923
"Ярославская область","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",137
"Ярославская область","3_11","Всего прекращено дел в связи с установлением личности",21
"Ярославская область","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-63.0859375
"Ярославская область","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-34.90304709
"Северо-Западный фед.округ","3_11","Всего разыскивалось лиц",22892
"Северо-Западный фед.округ","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",10463
"Северо-Западный фед.округ","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",11052
"Северо-Западный фед.округ","3_11","Установлено лиц из числа находившихся в розыске",12195
"Северо-Западный фед.округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",6067
"Северо-Западный фед.округ","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",4780
"Северо-Западный фед.округ","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",4364
"Северо-Западный фед.округ","3_11","Всего прекращено дел в связи с установлением личности",1133
"Северо-Западный фед.округ","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-26.98039216
"Северо-Западный фед.округ","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-14.21102662
"Республика Карелия","3_11","Всего разыскивалось лиц",2915
"Республика Карелия","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",835
"Республика Карелия","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1746
"Республика Карелия","3_11","Установлено лиц из числа находившихся в розыске",2106
"Республика Карелия","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",672
"Республика Карелия","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",1102
"Республика Карелия","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",40
"Республика Карелия","3_11","Всего прекращено дел в связи с установлением личности",5
"Республика Карелия","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-27.77777778
"Республика Карелия","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-20.10943912
"Республика Коми","3_11","Всего разыскивалось лиц",2204
"Республика Коми","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",1280
"Республика Коми","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",869
"Республика Коми","3_11","Установлено лиц из числа находившихся в розыске",1114
"Республика Коми","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",883
"Республика Коми","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",183
"Республика Коми","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",83
"Республика Коми","3_11","Всего прекращено дел в связи с установлением личности",10
"Республика Коми","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-23.89791183
"Республика Коми","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-0.644122383
"Архангельская обл. (с АО )","3_11","Всего разыскивалось лиц",2566
"Архангельская обл. (с АО )","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",873
"Архангельская обл. (с АО )","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1684
"Архангельская обл. (с АО )","3_11","Установлено лиц из числа находившихся в розыске",1585
"Архангельская обл. (с АО )","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",633
"Архангельская обл. (с АО )","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",944
"Архангельская обл. (с АО )","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",136
"Архангельская обл. (с АО )","3_11","Всего прекращено дел в связи с установлением личности",65
"Архангельская обл. (с АО )","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-31.57894737
"Архангельская обл. (с АО )","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-3.072625698
"  Архангельская обл. (без а/о)","3_11","Всего разыскивалось лиц",2427
"  Архангельская обл. (без а/о)","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",831
"  Архангельская обл. (без а/о)","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",1587
"  Архангельская обл. (без а/о)","3_11","Установлено лиц из числа находившихся в розыске",1534
"  Архангельская обл. (без а/о)","3_11","Установлено лиц из числа находившихся в розыске, в том числе скрывшихся от органов дознания, следствия, суда",602
"  Архангельская обл. (без а/о)","3_11","Установлено лиц из числа находившихся в розыске, в том числе лиц, пропавших без вести",924
"  Архангельская обл. (без а/о)","3_11","Всего дел по установлению личности граждан по неопознаным трупам, находившихся на учете",133
"  Архангельская обл. (без а/о)","3_11","Всего прекращено дел в связи с установлением личности",65
"  Архангельская обл. (без а/о)","3_11","Количество (остаток) неразысканных преступников по отношению к 2011 году (%)",-32.08191126
"  Архангельская обл. (без а/о)","3_11","Количество (остаток) неразысканных без вести пропавших граждан по отношению к 2011 году (%)",-1.097178683
"  Ненецкий АО","3_11","Всего разыскивалось лиц",139
"  Ненецкий АО","3_11","Всего разыскивалось лиц, в том числе скрывшихся от органов дознания, следствия, суда",42
"  Ненецкий АО","3_11","Всего разыскивалось лиц, в том числе лиц, пропавших без вести",97
